carro,2,100,200
carro,-3,500,400
carro,-2,500,200
carro,1,100,400
carro,-2,300,500
carro,2,200,600
carro,2,100,200
carro,-3,500,400
carro,-2,500,200
carro,1,100,400
carro,-2,300,500
carro,2,200,600
carro,2,100,200
carro,-3,500,400
carro,-2,500,200
carro,1,100,400
carro,-2,300,500
carro,2,200,600
carro,2,100,200
carro,-3,500,400
carro,-2,500,200
carro,1,100,400
carro,-2,300,500
carro,2,200,600
carro,2,100,200
carro,-3,500,400
carro,-2,500,200
carro,1,100,400
carro,-2,300,500
carro,2,200,600
